TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP
GOT IT GOOD (feat. Craig David),KAYTRANADA,2016,80,50,64,-7,31,227.999999952,5,40
In Bloom,Shook,2014,125,61,83,-10,66,258.999999984,1,20
Ttktv,Injury Reserve,2015,159,45,63,-9,7,402.000000048,81,52
LAND OF THE FREE,Joey Bada$$,2017,95,65,73,-6,16,283.999999968,47,57
TEMPTATION,Joey Bada$$,2017,105,71,78,-5,78,243.999999936,40,65
FOR MY PEOPLE,Joey Bada$$,2017,101,70,67,-7,19,233.000000064,11,56
Pink Beetle,Rejjie Snow,2016,150,78,48,-7,19,236.000000016,49,28
Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,2015,82,58,79,-8,76,186.99999998399997,56,2
Rhymes Like Dimes,MF DOOM,2011,100,75,64,-6,76,258.999999984,66,53
Alla luce del giorno,Ennio Morricone,2006,135,58,72,-13,90,186.00000004799998,5,29
A Horse with No Name,America,1972,123,51,65,-17,83,251.99999999999997,69,74
Youth,Glass Animals,2016,96,72,65,-8,79,231.00000004799998,13,64
Superstition - Single Version,Stevie Wonder,1996,101,66,65,-11,88,238.99999996800003,9,2
Magnolia,Playboi Carti,2017,163,58,79,-7,44,182.000000016,1,74
Life Itself,Glass Animals,2016,112,67,70,-6,56,281.000000016,1,61
Make You Mine,Breakbot,2010,95,56,83,-8,80,202.999999968,2,47
Pools,Glass Animals,2014,105,65,68,-9,23,288.999999936,15,52
Instant Need,FKJ,2013,91,49,77,-8,57,270.0,21,58
Home,Edward Sharpe & The Magnetic Zeros,2009,112,59,54,-7,14,303.000000048,29,71
First,Cold War Kids,2014,78,69,47,-4,56,200.000000016,2,34
Easy Easy,King Krule,2013,147,41,56,-9,23,170.000000064,84,48
Good Life,Kanye West,2007,84,80,44,-7,45,206.99999999999997,0,30
All Falls Down,Kanye West,2004,91,72,64,-5,46,224.000000064,18,32
Black Skinhead,Kanye West,2013,130,82,78,-6,27,188.000000064,0,72
Chanel,Frank Ocean,2017,110,50,78,-6,47,209.999999952,87,73
Just The Two Of Us,"Grover Washington, Jr.",2006,96,33,79,-15,61,238.000000032,42,52
Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,2016,115,80,73,-7,53,254.00000001600003,6,58
Come Down,Anderson .Paak,2016,98,91,82,-6,92,177.000000048,33,62
Ivy,Frank Ocean,2016,116,39,57,-10,45,249.00000004800003,78,73
Pink + White,Frank Ocean,2016,160,55,54,-7,55,184.99999996800003,67,74
Baby I'm Yours,Breakbot Feat. Irfane,2010,118,79,83,-4,74,216.0,71,57
Redbone,Childish Gambino,2016,160,36,75,-10,61,326.999999952,17,29
Eh,Death Grips,2016,152,89,72,-7,65,173.000000016,14,42
We The People....,A Tribe Called Quest,2016,93,81,71,-5,90,171.999999936,1,55
Enough!!,A Tribe Called Quest,2016,77,57,68,-7,24,200.999999952,25,46
The Moment,Tame Impala,2015,119,83,55,-6,45,254.99999995199997,0,65
The Less I Know The Better,Tame Impala,2015,117,74,64,-4,79,216.0,1,81
Immortal,J. Cole,2016,92,42,71,-11,25,202.000000032,44,64
Deja Vu,J. Cole,2016,174,41,65,-11,19,265.000000032,36,68
Ville Mentality,J. Cole,2016,120,38,86,-8,63,193.99999996800003,79,61
Change,J. Cole,2016,107,52,58,-11,24,330.999999984,64,63
Neighbors,J. Cole,2016,139,28,89,-13,41,216.999999936,36,71
Foldin Clothes,J. Cole,2016,162,50,71,-10,60,317.000000016,22,58
She's Mine Pt. 2,J. Cole,2016,70,20,51,-15,5,279.0,78,57
4 Your Eyez Only,J. Cole,2016,79,48,70,-10,49,530.000000064,38,62
Front & Center,Joey Bada$$,2016,106,66,63,-8,55,182.999999952,1,51
Devastated,Joey Bada$$,2016,123,48,84,-9,58,207.99999993599997,12,2
Paper Trail$,Joey Bada$$,2015,94,83,55,-4,45,195.000000048,34,55
Congratulations (feat. Bilal),Mac Miller,2016,58,23,47,-13,21,256.000000032,95,56
Dang! (feat. Anderson .Paak),Mac Miller,2016,107,67,84,-7,56,305.00000006399995,1,71
Stay,Mac Miller,2016,134,56,74,-7,55,326.000000016,57,63
Skin,Mac Miller,2016,120,59,61,-7,48,288.0,53,58
Cinderella (feat. Ty Dolla $ign),Mac Miller,2016,140,53,55,-7,24,479.999999952,24,64
Planet God Damn (feat. Njomza),Mac Miller,2016,173,49,64,-13,43,191.999999952,63,53
Soulmate,Mac Miller,2016,111,53,61,-7,56,272.999999952,13,55
We (feat. CeeLo Green),Mac Miller,2016,139,64,64,-9,60,319.000000032,79,56
My Favorite Part,Mac Miller,2016,95,33,86,-7,72,216.0,63,70
