#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
71,Sugar Wraith,Post Malone,43217,164,77,60,-4,29,0.1583333333,26,71,5095
72,Summer Knights,Joey Bada$$,41072,93,60,49,-8,46,0.08055555556,51,44,4577
73,Waves,Joey Bada$$,41072,90,91,73,-3,89,0.1472222222,22,51,7616
74,FromdaTomb$ (feat. Chuck Strangers),Joey Bada$$,41072,92,92,59,-5,55,0.1423611111,20,49,3201
75,Survival Tactics (feat. Capital STEEZ),Joey Bada$$,41072,200,84,53,-2,92,0.1409722222,43,56,3166
76,Killuminati (feat. Capital STEEZ),Joey Bada$$,41072,87,84,61,-3,88,0.1069444444,44,50,5704
77,Hardknock (feat. CJ Fly),Joey Bada$$,41072,82,89,64,-2,54,0.2208333333,9,50,7057
78,World Domination,Joey Bada$$,41072,79,94,45,-2,91,0.1131944444,17,50,7517
79,Pennyroyal,Joey Bada$$,41072,93,83,75,-2,92,0.1180555556,6,46,6625
80,Funky Ho'$,Joey Bada$$,41072,174,69,69,-6,65,0.1868055556,48,47,4303
81,Daily Routine,Joey Bada$$,41072,81,53,67,-9,54,0.1236111111,26,46,3021
82,Snakes (feat. T'nah Apex),Joey Bada$$,41072,82,67,53,-5,80,0.1798611111,82,48,6927
83,Don't Front (feat. CJ Fly),Joey Bada$$,41072,95,81,61,-6,74,0.1819444444,38,44,4359
84,Righteous Minds,Joey Bada$$,41072,95,64,81,-6,61,0.1555555556,26,52,6669
85,Where It'$ At? (feat. Kirk Knight),Joey Bada$$,41072,80,66,72,-5,86,0.1729166667,82,43,5155
86,"Third Eye Sh*t (feat. Pro Era, Capital STEEZ, CJ Fly, Chuck Strangers, Dyemond Lewis, Nyck Caution, Kirk Knight, Rokamouth, T'nah Apex & Dessy Hinds)",Joey Bada$$,41072,129,67,61,-6,72,0.4909722222,62,43,6
87,4th Dimension,KIDS SEE GHOSTS,43259,172,54,77,-7,73,0.10625,28,68,3130
88,Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS,43259,152,81,33,-5,31,0.14375,0,60,364
89,INTRO,Rejjie Snow,42872,80,68,52,-6,22,0.1347222222,65,19,494
90,UNBORN,Rejjie Snow,42872,170,37,79,-8,79,0.1340277778,33,21,2083
91,FASHION WEEK,Rejjie Snow,42872,140,66,76,-8,64,0.09513888889,45,26,5717
92,AFRICAN DRAGON,Rejjie Snow,42872,73,54,47,-13,21,0.01736111111,35,0,8266
93,PURPLE TUESDAY (feat. Joey Bada$$ & Jesse Boykins III),Rejjie Snow,42872,84,46,68,-6,72,0.2013888889,38,45,2932
94,ME & MY PIANO,Rejjie Snow,42872,80,27,64,-14,49,0.06944444444,87,20,9034
95,SUNNY CALIFORNIA,Rejjie Snow,42872,150,56,51,-8,37,0.1381944444,16,33,7352
96,HOPE,Rejjie Snow,42872,80,64,70,-5,68,0.08055555556,31,20,6043
97,CONGO (MAMA AFRICA),Rejjie Snow,42872,88,67,66,-7,71,0.03958333333,51,14,6236
98,GET IT (feat. Joyce Wrice),Rejjie Snow,42872,86,69,69,-7,71,0.1229166667,5,29,4587
99,MILK MAN,Rejjie Snow,42872,170,79,28,-15,4,0.01180555556,94,0,1234
100,PINK FLOWER (feat. Dana Williams & Julian Bell),Rejjie Snow,42872,80,60,68,-6,80,0.1208333333,62,30,1539
